Mode of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,13,13,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),46,1937,2013,9.6,9.6
Personal,Visitors,Trip Start,13,13,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),42,1893,1934,9.6,9.7
Personal,Visitors,Trip Start,13,13,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),44,1647,1710,7.7,8.1
Personal,Visitors,Trip Start,14,14,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),34,1455,1544,7.9,8.0
Personal,Visitors,Trip Start,14,14,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),1,1256,1527,8.1,9.0
Personal,Visitors,Trip Start,14,14,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),6,1465,1543,9.6,9.4
Personal,Visitors,Trip Start,14,14,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),11,1451,1519,6.5,6.6
Personal,Visitors,Trip Start,14,14,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),10,1488,1522,7.9,7.8
Personal,Visitors,Trip Start,14,14,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),6,1416,1624,8.5,9.2
Personal,Visitors,Trip Start,14,14,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),35,1429,1536,7.2,7.4
Personal,Visitors,Trip Start,14,14,no,N/A,no,1: Weekday (M-F),1: Early AM (12am-6am),1,1368,1368,9.4,9.4
Personal,Visitors,Trip Start,14,14,no,N/A,no,1: Weekday (M-F),2: Peak AM (6am-10am),8,1538,1627,10.5,10.2
Personal,Visitors,Trip Start,14,14,no,N/A,no,1: Weekday (M-F),3: Mid-Day (10am-3pm),11,1457,1548,6.4,6.6
Personal,Visitors,Trip Start,14,14,no,N/A,no,1: Weekday (M-F),4: Peak PM (3pm-7pm),9,1369,1410,5.4,5.6
Personal,Visitors,Trip Start,14,14,no,N/A,no,1: Weekday (M-F),5: Late PM (7pm-12am),7,1332,1604,6.8,7.7
Personal,Visitors,Trip Start,14,14,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),31,1524,1566,9.7,9.8
Personal,Visitors,Trip Start,14,14,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,863,1898,3.6,8.2
Personal,Visitors,Trip Start,14,14,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),4,1106,1106,5.2,5.2
Personal,Visitors,Trip Start,14,14,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),9,1434,1434,6.6,6.6
Personal,Visitors,Trip Start,14,14,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),11,1734,1756,12.9,12.4
Personal,Visitors,Trip Start,14,14,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),6,1605,1678,12.2,13.0
Personal,Visitors,Trip Start,15,15,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),34,1455,1544,7.9,8.0
Personal,Visitors,Trip Start,15,15,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),1,1256,1527,8.1,9.0
Personal,Visitors,Trip Start,15,15,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),6,1465,1543,9.6,9.4
